puzzle_id,heuristic,time_seconds,backtracks,solved,empty_cells
0,sequential,0.0005240440368652344,135,True,44
0,random,0.05856728553771973,10389,True,44
0,mrv,0.003766775131225586,0,True,44
1,sequential,0.00027823448181152344,48,True,46
1,random,0.13675951957702637,24184,True,46
1,mrv,0.00395512580871582,0,True,46
2,sequential,0.0002994537353515625,52,True,47
2,random,0.1880474090576172,33569,True,47
2,mrv,0.004193544387817383,0,True,47
3,sequential,0.000911712646484375,226,True,48
3,random,0.3714432716369629,65866,True,48
3,mrv,0.00419306755065918,0,True,48
4,sequential,0.0002903938293457031,44,True,47
4,random,0.21130800247192383,37493,True,47
4,mrv,0.004915952682495117,0,True,47
5,sequential,0.0003199577331542969,67,True,48
5,random,0.03305459022521973,5841,True,48
5,mrv,0.004337310791015625,0,True,48
6,sequential,0.00020313262939453125,24,True,45
6,random,0.020299196243286133,3558,True,45
6,mrv,0.004099369049072266,0,True,45
7,sequential,0.0005249977111816406,138,True,40
7,random,0.03350472450256348,5978,True,40
7,mrv,0.0036160945892333984,0,True,40
8,sequential,0.0006844997406005859,176,True,46
8,random,0.05613541603088379,10183,True,46
8,mrv,0.003834962844848633,0,True,46
9,sequential,0.00013709068298339844,1,True,47
9,random,0.02470707893371582,4276,True,47
9,mrv,0.004421234130859375,0,True,47
10,sequential,0.00016427040100097656,11,True,45
10,random,0.020023345947265625,3558,True,45
10,mrv,0.004147052764892578,0,True,45
11,sequential,0.0006577968597412109,181,True,43
11,random,0.39496684074401855,68630,True,43
11,mrv,0.00423121452331543,0,True,43
12,sequential,0.0004730224609375,125,True,45
12,random,0.023504257202148438,4098,True,45
12,mrv,0.0039501190185546875,0,True,45
13,sequential,0.0004322528839111328,107,True,45
13,random,0.08641815185546875,15414,True,45
13,mrv,0.004102468490600586,0,True,45
14,sequential,0.0008969306945800781,234,True,46
14,random,0.20900416374206543,36376,True,46
14,mrv,0.00421595573425293,0,True,46
15,sequential,0.0008382797241210938,211,True,46
15,random,0.36517858505249023,65202,True,46
15,mrv,0.004228830337524414,0,True,46
16,sequential,0.00019121170043945312,20,True,48
16,random,0.09595203399658203,17602,True,48
16,mrv,0.004270076751708984,0,True,48
17,sequential,0.0003223419189453125,61,True,48
17,random,1.1014246940612793,198641,True,48
17,mrv,0.004610776901245117,0,True,48
18,sequential,0.0005707740783691406,137,True,46
18,random,0.19214200973510742,34666,True,46
18,mrv,0.004293918609619141,0,True,46
19,sequential,0.0002930164337158203,49,True,47
19,random,0.2839210033416748,51449,True,47
19,mrv,0.004389524459838867,0,True,47
20,sequential,0.00024819374084472656,36,True,46
20,random,0.05303788185119629,9661,True,46
20,mrv,0.003989458084106445,0,True,46
21,sequential,0.00016498565673828125,12,True,44
21,random,0.1461038589477539,26594,True,44
21,mrv,0.003810882568359375,0,True,44
22,sequential,0.00020599365234375,28,True,48
22,random,0.0019373893737792969,329,True,48
22,mrv,0.004213571548461914,0,True,48
23,sequential,0.0005400180816650391,141,True,45
23,random,0.04952216148376465,8984,True,45
23,mrv,0.004055500030517578,0,True,45
24,sequential,0.0002677440643310547,45,True,47
24,random,0.07970809936523438,14362,True,47
24,mrv,0.003870725631713867,0,True,47
25,sequential,0.0004162788391113281,92,True,48
25,random,0.14261412620544434,25558,True,48
25,mrv,0.004136323928833008,0,True,48
26,sequential,0.00014972686767578125,9,True,46
26,random,0.05335044860839844,9509,True,46
26,mrv,0.0037229061126708984,0,True,46
27,sequential,0.0007491111755371094,199,True,47
27,random,0.24690580368041992,45673,True,47
27,mrv,0.0039844512939453125,0,True,47
28,sequential,0.0003337860107421875,66,True,46
28,random,0.07569718360900879,13568,True,46
28,mrv,0.0038056373596191406,0,True,46
29,sequential,0.0007822513580322266,206,True,48
29,random,0.06193733215332031,11173,True,48
29,mrv,0.004044055938720703,0,True,48
30,sequential,0.0004162788391113281,88,True,45
30,random,0.018496990203857422,3341,True,45
30,mrv,0.003934144973754883,0,True,45
31,sequential,0.0003578662872314453,65,True,46
31,random,0.05191445350646973,9534,True,46
31,mrv,0.004151105880737305,0,True,46
32,sequential,0.0005276203155517578,139,True,46
32,random,0.015665054321289062,2915,True,46
32,mrv,0.0037140846252441406,0,True,46
33,sequential,0.0008502006530761719,223,True,46
33,random,0.26124000549316406,47442,True,46
33,mrv,0.004023313522338867,0,True,46
34,sequential,0.0001666545867919922,12,True,47
34,random,0.02695631980895996,4854,True,47
34,mrv,0.004129648208618164,0,True,47
35,sequential,0.000457763671875,113,True,47
35,random,0.07668280601501465,13966,True,47
35,mrv,0.004305839538574219,0,True,47
36,sequential,0.0004932880401611328,116,True,48
36,random,0.48087525367736816,86335,True,48
36,mrv,0.004468202590942383,0,True,48
37,sequential,0.00045680999755859375,100,True,47
37,random,0.3899400234222412,70199,True,47
37,mrv,0.004180431365966797,0,True,47
38,sequential,0.0002484321594238281,33,True,45
38,random,0.020979642868041992,3690,True,45
38,mrv,0.003873109817504883,0,True,45
39,sequential,0.0004782676696777344,117,True,48
39,random,0.006691694259643555,1168,True,48
39,mrv,0.00453948974609375,0,True,48
40,sequential,0.0003764629364013672,82,True,41
40,random,0.04183340072631836,7658,True,41
40,mrv,0.003732919692993164,0,True,41
41,sequential,0.00023603439331054688,36,True,47
41,random,0.005274772644042969,910,True,47
41,mrv,0.004042148590087891,0,True,47
42,sequential,0.0001633167266845703,12,True,47
42,random,0.048293113708496094,8622,True,47
42,mrv,0.003901958465576172,0,True,47
43,sequential,0.0004258155822753906,90,True,47
43,random,0.43402719497680664,78683,True,47
